premise,hypothesis,label
"Mastruzzi, 2009: Governance Matters VIII 
Aggregate and Individual Governance Indicators 1996–2008 (English).",Governance Matters VIII Aggregate and Individual Governance Indicators 1998–2008 was written by Mastruzzi.,contradiction
"Mastruzzi, 2009: Governance Matters VIII 
Aggregate and Individual Governance Indicators 1996–2008 (English).","Informal centres of decision-making are those following customary 
norms and habits based on conventions (Onibon et al.",neutral
"Skånberg, 2017a: Towards systemic 
and contextual priority setting for implementing the 2030 Agenda.",There is a priority setting for implementing the 2030 Agenda.,entailment
"Skånberg, 2017a: Towards systemic 
and contextual priority setting for implementing the 2030 Agenda.",There is not a priority setting for implementing the 2030 Agenda.,contradiction
"Skånberg, 2017a: Towards systemic 
and contextual priority setting for implementing the 2030 Agenda.","The recently revised EU-RED provides sustainability 
criteria that include management of land and forestry as well as 
socio-economic aspects (European Union 2018; Faaij 2018; Stattman 
et al.",neutral
"Bakhtsiyarava, 2017: International climate migration: 
Evidence for the Climate Inhibitor Mechanism and the agricultural 
pathway.",Evidence for the Climate Inhibitor Mechanism and the agricultural pathway can be found in Bakhtsiyarava.,entailment
"Bakhtsiyarava, 2017: International climate migration: 
Evidence for the Climate Inhibitor Mechanism and the agricultural 
pathway.",It is false that Evidence for the Climate Inhibitor Mechanism and the agricultural pathway can be found in Bakhtsiyarava.,contradiction
"Bakhtsiyarava, 2017: International climate migration: 
Evidence for the Climate Inhibitor Mechanism and the agricultural 
pathway.","Woertz, 2015: The water–food–energy nexus: 
An introduction to nexus concepts and some conceptual and operational 
problems.",neutral
"Martin, K., 2009: Toward a cartography of the commons: Constituting the 
political and economic possibilities of place.",Toward a cartography of the commons is a work by Martin.,entailment
"Martin, K., 2009: Toward a cartography of the commons: Constituting the 
political and economic possibilities of place.",Toward a cartography of the commons is not a work by Martin.,contradiction
"Martin, K., 2009: Toward a cartography of the commons: Constituting the 
political and economic possibilities of place.","The potential limits of farmers’ 
cooperation in agri-environment measures.",neutral
"Contribution of Working Group II to 
the Fifth Assessment Report of the Intergovernmental Panel on Climate 
Change [Field, C.B., V.R.",Working Group II contributed to the Fifth Assessment Report of the Intergovernmental Panel on Climate Change.,entailment
"Contribution of Working Group II to 
the Fifth Assessment Report of the Intergovernmental Panel on Climate 
Change [Field, C.B., V.R.",It is false that Working Group II contributed to the Fifth Assessment Report of the Intergovernmental Panel on Climate Change.,contradiction
"Contribution of Working Group II to 
the Fifth Assessment Report of the Intergovernmental Panel on Climate 
Change [Field, C.B., V.R.","Famiglietti, 2009: Satellite-based estimates 
of groundwater depletion in India.",neutral
"Cambridge University Press, Cambridge, UK, and New 
York, NY , USA, doi:10.1017/CBO9781139136938.
McMichael, A.J., R.E.","The Cambridge University Press is located in Cambridge, UK and New York, NY.",entailment
"Cambridge University Press, Cambridge, UK, and New 
York, NY , USA, doi:10.1017/CBO9781139136938.
McMichael, A.J., R.E.","The Cambridge University Press is not located in Cambridge, UK and New York, NY.",contradiction
"Cambridge University Press, Cambridge, UK, and New 
York, NY , USA, doi:10.1017/CBO9781139136938.
McMichael, A.J., R.E.","Olsson, 2018: Harnessing local knowledge 
for scientific knowledge production: Challenges and pitfalls within 
evidence-based sustainability studies.",neutral
"Following an 
approach articulated in O’Neill, B.C.",An approach was articulated in B.C.,entailment
"Following an 
approach articulated in O’Neill, B.C.",It is false that An approach was articulated in B.C.,contradiction
"Following an 
approach articulated in O’Neill, B.C.","et al., 2012: Navigating challenges and opportunities 
of land degradation and sustainable livelihood development in dryland 
social-ecological systems: A case study from Mexico.",neutral
"Although 
relatively few empirical examples exist in the land sector, there is 
evidence that nudges could be applied successfully, for example, 
in woodland creation (Valatin et al.",There is evidence that nudging can be applied successfully in the creation of woodland.,entailment
"Although 
relatively few empirical examples exist in the land sector, there is 
evidence that nudges could be applied successfully, for example, 
in woodland creation (Valatin et al.",There is not evidence that nudging can be applied successfully in the creation of woodland.,contradiction
"Although 
relatively few empirical examples exist in the land sector, there is 
evidence that nudges could be applied successfully, for example, 
in woodland creation (Valatin et al.","Lambin, 2016: ‘I know, therefore I adapt?’ 
Complexities of individual adaptation to climate-induced forest dieback in 
Alaska.",neutral
"Moran, 2018: Addressing uncertainty 
in efficient mitigation of agricultural greenhouse gas emissions.",Moran addressed uncertainty in efficient mitigation of agricultural greenhouse gas emissions.,entailment
"Moran, 2018: Addressing uncertainty 
in efficient mitigation of agricultural greenhouse gas emissions.",It is false that Moran addressed uncertainty in efficient mitigation of agricultural greenhouse gas emissions.,contradiction
"Moran, 2018: Addressing uncertainty 
in efficient mitigation of agricultural greenhouse gas emissions.","Shang, 2017: How large are global fossil fuel 
subsidies?",neutral
"Vianna, 2012: Impact on a fish 
assemblage of the maintenance dredging of a navigation channel in a 
tropical coastal ecosystem.",There is an impact on fish in the maintenance of a navigation channel.,entailment
"Vianna, 2012: Impact on a fish 
assemblage of the maintenance dredging of a navigation channel in a 
tropical coastal ecosystem.",There is not an impact on fish in the maintenance of a navigation channel.,contradiction
"Vianna, 2012: Impact on a fish 
assemblage of the maintenance dredging of a navigation channel in a 
tropical coastal ecosystem.","Mulhern, 
2017: The Risks of Multiple Breadbasket Failures in the 21st Century: 
A Science Research Agenda.",neutral
"et al., 2007: Managing change toward adaptive water 
management through social learning.",Social learning is used to manage change toward adaptive water management.,entailment
"et al., 2007: Managing change toward adaptive water 
management through social learning.",Social learning is not used to manage change toward adaptive water management.,contradiction
"et al., 2007: Managing change toward adaptive water 
management through social learning.","UFZ Discussion Papers 13/2012, Helmholtz Centre for 
Environmental Research (UFZ), Division of Social Sciences (ÖKUS), Leipzig, 
Germany, 27 pp.",neutral
"et al., (2017), expert judgements 
were made to assess thresholds of risk (O’Neill, B.C.",The thresholds of risk were assessed by expert judgements.,entailment
"et al., (2017), expert judgements 
were made to assess thresholds of risk (O’Neill, B.C.",It is false that The thresholds of risk were assessed by expert judgements.,contradiction
